Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
Discount Power Inc - (CT),RI,Power Marketer,931,"6,487",933.3,14.39
"ENGIE Retail, LLC",RI,Power Marketer,"1,268","8,660",903.5,10.43
"First Point Power, LLC",RI,Power Marketer,"1,281","9,860","1,066.90",10.82
Liberty Power Corp.,RI,Power Marketer,"1,188","5,889",745,12.65
"North American Power and Gas, LLC",RI,Power Marketer,"6,898","54,303","7,972.10",14.68
Public Power LLC (CT),RI,Power Marketer,42,454,47.4,10.44
Town Square Energy,RI,Power Marketer,"4,155","23,364","3,596.00",15.39
Viridian Energy LLC,RI,Power Marketer,717,"5,342",737.6,13.81
"XOOM Energy Rhode Island, LLC",RI,Power Marketer,"1,694","11,942","1,375.00",11.51
Adjustment 2019,CA,Other,"286,266","319,218","23,201.20",0
Adjustment 2019,CT,Other,"-1,686","120,732","12,130.40",0
Adjustment 2019,DC,Other,"7,819","291,376","32,160.90",0
Adjustment 2019,DE,Other,"-1,790","-46,484","-4,215.50",0
Adjustment 2019,IL,Other,"-85,107","40,053","3,006.50",0
Adjustment 2019,MA,Other,"96,263","159,102","19,699.50",0
Adjustment 2019,MD,Other,"-2,770","-181,472","-17,374.50",0
Adjustment 2019,ME,Other,-676,"14,747","1,708.20",0
Adjustment 2019,MI,Other,33,627,56,0
Adjustment 2019,MT,Other,2,7,0.4,0
Adjustment 2019,NH,Other,"-3,192","-1,922",-272.4,0
Adjustment 2019,NJ,Other,"-5,600","6,405",654.2,0
Adjustment 2019,NY,Other,"-6,782","-886,586","-80,945.00",0
Adjustment 2019,OH,Other,"418,057","4,187,848","256,623.90",0
Adjustment 2019,PA,Other,"7,628","345,495","31,064.60",0
Adjustment 2019,RI,Other,"8,521","57,646","7,678.60",0
