2022 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Energy Harbor Corp.,IL,Retail Power Marketer,"90,824","806,553","48,283.6",5.99
Energy Plus Holdings LLC,IL,Retail Power Marketer,"7,788","63,837","8,949.0",14.02
"Energy Services Providers, Inc",IL,Retail Power Marketer,"21,314","162,367","18,459.0",11.37
Energywell LLC,IL,Retail Power Marketer,"1,967","1,157",221.9,19.18
Everyday Energy LLC,IL,Retail Power Marketer,317,"2,603",335.1,12.87
"Frontier Utilities, LLC",IL,Retail Power Marketer,"1,282","8,473","1,217.5",14.37
"Great American Power, LLC",IL,Retail Power Marketer,"3,226","21,429","2,205.5",10.29
Green Mountain Energy Company,IL,Retail Power Marketer,"9,647","66,548","9,229.2",13.87
Greenlight Energy Inc.,IL,Retail Power Marketer,525,"3,341",454.8,13.61
Homefield Energy,IL,Retail Power Marketer,"333,852","3,675,986","169,969.7",4.62
"IDT Energy, Inc.",IL,Retail Power Marketer,"4,303","24,745","4,149.3",16.77
"Inspire Energy Holdings, LLC",IL,Retail Power Marketer,"10,478","84,539","9,493.0",11.23
"Interstate Gas Supply, Inc.",IL,Retail Power Marketer,"20,189","156,809","19,533.0",12.46
Josco Energy IL LLC,IL,Retail Power Marketer,170,757,116.3,15.36
Liberty Power Corp.,IL,Retail Power Marketer,"4,270","10,199","1,230.5",12.06
"MC Squared Energy Services, LLC",IL,Retail Power Marketer,"66,987","681,440","61,135.0",8.97
MPower Energy NJ LLC,IL,Retail Power Marketer,469,"2,474",359.4,14.53
Major Energy Electric Services,IL,Retail Power Marketer,661,"3,639",591.0,16.24
"Mega Energy of Illinois, LLC",IL,Retail Power Marketer,"7,320","46,276","6,716.0",14.51
"MidAmerican Energy Services, LLC",IL,Retail Power Marketer,283,"3,071",196.4,6.40
"Nordic Energy Services, LLC",IL,Retail Power Marketer,"6,942","63,430","10,131.1",15.97
"North American Power and Gas, LLC",IL,Retail Power Marketer,"1,916","14,160","2,216.0",15.65
"Palmco Power IL, LLC",IL,Retail Power Marketer,"28,826","133,667","16,428.7",12.29
Park Power LLC,IL,Retail Power Marketer,"1,023","7,058",901.7,12.78
Public Power LLC (CT),IL,Retail Power Marketer,819,"7,894",826.0,10.46
"Pure Energy USA, LLC",IL,Retail Power Marketer,"2,443","15,376","3,010.0",19.58
"RPA Energy, Inc.",IL,Retail Power Marketer,"10,616","63,127","11,129.0",17.63
"Realgy, LLC",IL,Retail Power Marketer,"14,466","140,119","16,729.9",11.94
Reliant Energy Northeast LLC,IL,Retail Power Marketer,"114,251","964,712","120,007.0",12.44
"ResCom Energy, LLC",IL,Retail Power Marketer,118,313,33.2,10.61
"Residents Energy, LLC",IL,Retail Power Marketer,"24,431","192,581","25,281.0",13.13
"Rushmore Energy, LLC",IL,Retail Power Marketer,"6,347","43,665","4,040.9",9.25
"SFE Energy Illinois, Inc.",IL,Retail Power Marketer,584,"4,960",426.0,8.59
Santanna Energy Services,IL,Retail Power Marketer,"7,395","66,435","7,939.8",11.95
"SmartEnergy Holdings, LLC",IL,Retail Power Marketer,"26,788","191,307","25,950.5",13.56
South Bay Energy Corp.,IL,Retail Power Marketer,164,"1,049",157.0,14.97
"Spark Energy, LP",IL,Retail Power Marketer,"21,472","157,258","27,745.0",17.64
"Star Energy Partners, LLC",IL,Retail Power Marketer,"10,480","64,487","7,241.0",11.23
"Starion Energy PA, Inc.",IL,Retail Power Marketer,20,9,0.9,10.00
StateWise Energy Illinois LLC,IL,Retail Power Marketer,167,"1,452",61.0,4.20
"Stream Energy Illinois, LLC",IL,Retail Power Marketer,"4,867","35,554","3,727.3",10.48
Titan Gas LLC,IL,Retail Power Marketer,14,257,21.1,8.21
Tomorow Energy Corp.,IL,Retail Power Marketer,"2,589","17,803","4,177.9",23.47
Viridian Energy PA LLC,IL,Retail Power Marketer,"3,945","33,584","4,713.3",14.03
"Vista Energy Marketing, L.P.",IL,Retail Power Marketer,"8,783","59,500","8,548.4",14.37
"XOOM Energy Illinois, LLC",IL,Retail Power Marketer,"14,276","110,825","13,811.0",12.46
"Alpha Gas and Electric, LLC",MA,Retail Power Marketer,"3,213","19,553","4,452.4",22.77
"Ambit Energy Holdings, LLC",MA,Retail Power Marketer,"11,550","88,384","16,109.0",18.23
American Power & Gas,MA,Retail Power Marketer,2,16,3.5,21.88
