Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
South Jersey Energy Company,NJ,Power Marketer,"26,956","276,792","26,559.00",9.6
"Spark Energy, LP",NJ,Power Marketer,"1,097","18,098","1,950.90",10.78
Sperian Energy Corp,NJ,Power Marketer,"2,966","25,282","2,954.00",11.68
Spring Power & Gas,NJ,Power Marketer,"2,007","13,189","1,508.00",11.43
"Star Energy Partners, LLC",NJ,Power Marketer,"7,195","54,359","6,623.20",12.18
"Starion Energy PA, Inc.",NJ,Power Marketer,"10,318","70,398","9,718.30",13.8
"Stream Energy New Jersey, LLC",NJ,Power Marketer,"16,453","152,834","17,013.80",11.13
"Supreme Energy, Inc.",NJ,Power Marketer,36,444,49,11.04
"Talen Energy Marketing, LLC",NJ,Power Marketer,"9,969","89,505","10,163.60",11.36
"Texpo Power, L.P.",NJ,Power Marketer,428,"5,360",523.2,9.76
"TriEagle Energy, L.P.",NJ,Power Marketer,"101,826","998,364","98,427.50",9.86
Verde Energy USA,NJ,Power Marketer,"15,111","122,761","20,060.30",16.34
Viridian Energy PA LLC,NJ,Power Marketer,"30,579","275,028","37,447.90",13.62
"XOOM Energy New Jersey, LLC",NJ,Power Marketer,"6,932","56,794","7,794.40",13.72
AP Holdings LLC,NY,Power Marketer,984,"5,577",555,9.95
"Accent Energy Holdings, LLC",NY,Power Marketer,"8,855","50,683","5,050.00",9.96
Agera Energy LLC,NY,Power Marketer,"1,267","72,494","6,351.00",8.76
"Agway Energy Services, LLC",NY,Power Marketer,"36,228","275,115","22,670.80",8.24
"Alpha Gas and Electric, LLC",NY,Power Marketer,"5,897","32,963","4,607.00",13.98
"Ambit Energy Holdings, LLC",NY,Power Marketer,"142,814","1,194,805","74,388.60",6.23
American Power & Gas,NY,Power Marketer,"11,019","89,765","10,880.90",12.12
Astral Energy LLC,NY,Power Marketer,"2,889","16,684","2,466.90",14.79
Atlantic Energy LLC,NY,Power Marketer,480,"23,172","2,472.40",10.67
Censtar Energy Corporation,NY,Power Marketer,"4,582","73,461","10,529.00",14.33
"CleanChoice Energy, Inc.",NY,Power Marketer,"20,471","88,445","11,342.20",12.82
Clearview Electric Inc.,NY,Power Marketer,"7,063","29,920","2,488.00",8.32
Columbia Utilities Electricity,NY,Power Marketer,"2,744","14,037","1,902.00",13.55
Consolidated Edison Sol Inc,NY,Power Marketer,"25,650","122,106","9,564.10",7.83
Constellation Energy Power Choice Inc.,NY,Power Marketer,"1,341","11,560",845,7.31
"Constellation Energy Services NY, Inc.",NY,Power Marketer,"1,888","20,921","1,245.80",5.95
"Constellation NewEnergy, Inc",NY,Power Marketer,"110,293","1,018,999","77,677.00",7.62
Direct Energy Services,NY,Power Marketer,"109,393","870,885","95,145.40",10.93
Drift,NY,Power Marketer,131,858,47.5,5.54
"ENGIE Retail, LLC",NY,Power Marketer,"2,082","13,975","1,047.70",7.5
"East Coast Power & Gas, LLC",NY,Power Marketer,"1,743","165,723","13,634.00",8.23
"Eligo Energy, LLC",NY,Power Marketer,"14,859","124,166","8,974.80",7.23
"Energy Coop of New York, Inc",NY,Power Marketer,"3,601","109,075","5,321.00",4.88
Energy Plus Holdings LLC,NY,Power Marketer,"18,209","117,635","14,230.80",12.1
"Energy Services Providers, Inc.",NY,Power Marketer,"26,208","215,062","18,351.10",8.53
"EnergyMark, LLC",NY,Power Marketer,"1,997","12,982",675.8,5.21
Entrust Energy,NY,Power Marketer,611,"4,139",469.1,11.33
"Family Energy, Inc. New York",NY,Power Marketer,"49,503","300,500","26,299.00",8.75
"Frontier Utilities, Inc.",NY,Power Marketer,398,"2,766",337.2,12.19
Great Eastern Energy,NY,Power Marketer,308,"11,822",944.2,7.99
Green Mountain Energy Company,NY,Power Marketer,"75,096","320,857","43,521.10",13.56
Greenlight Energy Inc.,NY,Power Marketer,"5,515","34,777","3,451.00",9.92
"HIKO Energy, LLC",NY,Power Marketer,"12,553","78,719","8,219.40",10.44
Hudson Energy Services,NY,Power Marketer,"1,621","32,064","2,796.40",8.72
"IDT Energy, Inc.",NY,Power Marketer,"68,465","352,392","47,620.10",13.51
"Inspire Energy Holdings, LLC",NY,Power Marketer,265,"1,286",174.1,13.54
Just Energy New York Corp.,NY,Power Marketer,"70,021","482,902","42,731.40",8.85
Kiwi Energy NY LLC,NY,Power Marketer,"36,043","207,706","24,454.00",11.77
Liberty Power Corp.,NY,Power Marketer,"11,096","41,001","5,767.00",14.07
MPower Energy LLC,NY,Power Marketer,"53,600","206,844","27,773.90",13.43
Major Energy Electric Services,NY,Power Marketer,"33,868","294,143","27,864.00",9.47
Marathon Power LLC,NY,Power Marketer,678,"17,234","1,515.10",8.79
NOCO Electric,NY,Power Marketer,"9,848","111,421","5,544.00",4.98
New Wave Energy Corporation,NY,Power Marketer,"2,794","38,054","2,123.00",5.58
"Nordic Energy Services, LLC",NY,Power Marketer,23,"1,356",114.1,8.41
"North American Power and Gas, LLC",NY,Power Marketer,"8,512","69,211","9,140.30",13.21
"Oasis Power, LLC",NY,Power Marketer,"3,930","16,473","2,776.40",16.85
"Perigee Energy, LLC",NY,Power Marketer,819,"3,656",391,10.69
Planet Energy,NY,Power Marketer,30,127,17.2,13.54
"Plymouth Rock Energy, LLC",NY,Power Marketer,"7,380","26,415","2,802.50",10.61
Public Power LLC (CT),NY,Power Marketer,"6,839","42,702","3,934.00",9.21
Reliant Energy Northeast LLC,NY,Power Marketer,"7,334","56,348","4,591.30",8.15
"Residents Energy, LLC",NY,Power Marketer,"10,160","53,145","7,282.70",13.7
"Robison Energy, LLC",NY,Power Marketer,"2,596","73,195","6,800.90",9.29
"SBR Energy, LLC",NY,Power Marketer,732,"5,210",755,14.49
South Bay Energy Corp.,NY,Power Marketer,"4,790","21,313","3,017.10",14.16
"Spark Energy, LP",NY,Power Marketer,"13,826","65,732","8,460.30",12.87
Sperian Energy Corp,NY,Power Marketer,384,"2,810",316,11.25
"Starion Energy NY, Inc.",NY,Power Marketer,"5,943","22,167","3,020.20",13.62
"Stream Energy New York, LLC",NY,Power Marketer,"7,378","51,033","3,156.20",6.18
"Supreme Energy, Inc.",NY,Power Marketer,88,"5,077",543,10.7
U.S. Energy Partners LLC,NY,Power Marketer,"1,451","13,063",558,4.27
"UGI Energy Services, Inc.",NY,Power Marketer,1,7,0.2,2.86
Verde Energy USA,NY,Power Marketer,"7,587","46,282","5,486.60",11.85
Viridian Energy NY LLC,NY,Power Marketer,"30,933","236,188","22,394.80",9.48
"XOOM Energy New York, LLC",NY,Power Marketer,"31,674","173,210","18,006.80",10.4
AEP Energy,OH,Power Marketer,"196,145","2,339,949","140,229.00",5.99
AP Holdings LLC,OH,Power Marketer,"6,242","80,481","3,220.00",4
Agera Energy LLC,OH,Power Marketer,"1,580","16,104","1,150.00",7.14
"Ambit Energy Holdings, LLC",OH,Power Marketer,"6,353","68,707","3,938.40",5.73
American Power & Gas,OH,Power Marketer,"4,504","55,172","5,875.80",10.65
Aspirity Energy LLC,OH,Power Marketer,"3,367","26,153","1,863.80",7.13
Astral Energy LLC,OH,Power Marketer,24,215,17.9,8.33
Capital Energy LLC,OH,Power Marketer,"24,926","311,755","17,300.90",5.55
Censtar Energy Corporation,OH,Power Marketer,"9,004","79,656","9,522.00",11.95
Champion Energy Services,OH,Power Marketer,834,"2,768",161,5.82
"Choice Energy, LLC d/b/a 4 Choice Energy",OH,Power Marketer,"1,301","12,379","1,302.60",10.52
Cincinnati Bell Energy LLC,OH,Power Marketer,"13,938","162,224","11,843.50",7.3
"CleanChoice Energy, Inc.",OH,Power Marketer,762,"5,587",565.9,10.13
Clearview Electric Inc.,OH,Power Marketer,"1,574","14,084","1,047.00",7.43
"Commerce Energy, Inc.",OH,Power Marketer,"29,060","283,758","20,501.90",7.23
"Constellation Energy Services, Inc.",OH,Power Marketer,"37,168","227,887","15,120.90",6.64
"Constellation NewEnergy, Inc",OH,Power Marketer,"25,080","247,180","15,858.00",6.42
DPL Energy Resources,OH,Power Marketer,"35,787","535,117","35,994.00",6.73
Direct Energy Services,OH,Power Marketer,"50,533","479,796","40,338.00",8.41
"Discount Energy Group, LLC",OH,Power Marketer,"2,623","23,494","1,945.10",8.28
Discount Power Inc - (CT),OH,Power Marketer,"1,054","12,598","1,086.60",8.63
"Dynegy Energy Services, LLC",OH,Power Marketer,"204,018","2,280,488","128,185.60",5.62
"ENGIE Retail, LLC",OH,Power Marketer,"15,666","102,819","6,305.50",6.13
"Eligo Energy, LLC",OH,Power Marketer,"3,260","47,891","3,233.90",6.75
Energy Plus Holdings LLC,OH,Power Marketer,759,"7,761",897.3,11.56
"Energy Services Providers, Inc.",OH,Power Marketer,"4,591","38,255","2,777.20",7.26
Energy.Me Midwest LLC,OH,Power Marketer,161,"2,949",203,6.88
Entrust Energy,OH,Power Marketer,"1,273","10,923",881.2,8.07
Everyday Energy LLC,OH,Power Marketer,"1,392","10,720",952.4,8.88
First Energy Solutions Corp.,OH,Power Marketer,"683,117","6,450,866","347,066.10",5.38
"First Point Power, LLC",OH,Power Marketer,1,8,0.4,5
"Frontier Utilities, Inc.",OH,Power Marketer,"1,150","7,112",608.5,8.56
"Great American Power, LLC",OH,Power Marketer,39,591,31,5.25
"HIKO Energy, LLC",OH,Power Marketer,"1,063","8,373",731.5,8.74
"IDT Energy, Inc.",OH,Power Marketer,"1,214","10,840","1,015.30",9.37
"Inspire Energy Holdings, LLC",OH,Power Marketer,450,"3,639",355.2,9.76
"Interstate Gas Supply, Inc.",OH,Power Marketer,"249,633","2,457,068","160,746.00",6.54
Liberty Power Corp.,OH,Power Marketer,"1,233","6,431",664,10.32
"LifeEnergy, LLC",OH,Power Marketer,"2,491","22,427","1,562.20",6.97
Lykins Energy Solutions,OH,Power Marketer,"2,094","26,017","1,514.70",5.82
"MidAmerican Energy Services, LLC",OH,Power Marketer,"3,133","40,424","2,090.70",5.17
"Nordic Energy Services, LLC",OH,Power Marketer,"2,137","26,213","1,700.40",6.49
"North American Power and Gas, LLC",OH,Power Marketer,"17,677","212,461","15,178.80",7.14
"Palmco Power OH, LLC",OH,Power Marketer,"9,543","51,240","4,295.60",8.38
Park Power LLC,OH,Power Marketer,296,"2,917",167,5.73
"Perigee Energy, LLC",OH,Power Marketer,203,"1,557",99,6.36
Planet Energy,OH,Power Marketer,"1,797","2,772",245.6,8.86
"Plymouth Rock Energy, LLC",OH,Power Marketer,"1,087","5,004",457.2,9.14
Public Power LLC (CT),OH,Power Marketer,"1,100","11,169","1,025.90",9.19
Reliant Energy Northeast LLC,OH,Power Marketer,"12,021","128,981","11,456.50",8.88
"Renaissance Power & Gas, Inc.",OH,Power Marketer,"1,437","12,621",951.6,7.54
"Residents Energy, LLC",OH,Power Marketer,"1,536","13,514","1,340.40",9.92
"Rushmore Energy, LLC",OH,Power Marketer,"6,948","59,920","4,344.70",7.25
"SFE Energy Ohio, Inc.",OH,Power Marketer,"1,102","6,621",439,6.63
Santanna Energy Services,OH,Power Marketer,"8,067","75,048","4,269.00",5.69
"Shipley Choice, LLC",OH,Power Marketer,625,"6,706",428.2,6.39
"SmartEnergy Holdings, LLC",OH,Power Marketer,"9,816","86,284","6,726.00",7.8
Source Power & Gas LLC,OH,Power Marketer,53,664,53.5,8.06
South Bay Energy Corp.,OH,Power Marketer,6,7,0.8,11.43
Sperian Energy Corp,OH,Power Marketer,"1,731","19,242","1,574.50",8.18
"Star Energy Partners, LLC",OH,Power Marketer,"35,252","336,580","26,260.00",7.8
"Starion Energy PA, Inc.",OH,Power Marketer,"8,606","81,125","7,208.20",8.89
StateWise Energy Ohio LLC,OH,Power Marketer,"4,495","15,571",909,5.84
"Sunwave Gas & Power Connecticut, Inc.",OH,Power Marketer,208,"2,312",119.7,5.18
Switch Energy,OH,Power Marketer,"3,964","39,136","2,686.00",6.86
Titan Gas LLC,OH,Power Marketer,"36,620","365,061","38,215.00",10.47
Verde Energy USA,OH,Power Marketer,"19,240","168,908","13,936.30",8.25
Viridian Energy PA LLC,OH,Power Marketer,380,"3,768",287.4,7.63
"Vista Energy Marketing, L.P.",OH,Power Marketer,"5,522","33,782","2,741.00",8.11
Western Reserve Energy Services LLC,OH,Power Marketer,32,371,21.2,5.71
"XOOM Energy Ohio, LLC",OH,Power Marketer,"16,128","152,836","11,783.50",7.71
AEP Energy,PA,Power Marketer,"84,740","970,882","68,518.00",7.06
AP Holdings LLC,PA,Power Marketer,"7,721","108,961","4,349.00",3.99
Agera Energy LLC,PA,Power Marketer,272,"6,272",444,7.08
"Agway Energy Services, LLC",PA,Power Marketer,"3,203","35,374","2,953.20",8.35
"Alpha Gas and Electric, LLC",PA,Power Marketer,"1,975","16,272","1,678.00",10.31
"Ambit Energy Holdings, LLC",PA,Power Marketer,"52,005","585,864","48,712.20",8.31
American Power & Gas,PA,Power Marketer,"17,926","220,745","25,815.60",11.69
Anthracite Power & Light,PA,Power Marketer,798,"9,316",659.6,7.08
Aspirity Energy LLC,PA,Power Marketer,811,"6,528",580.8,8.9
Astral Energy LLC,PA,Power Marketer,983,"7,675",799.2,10.41
CEI,PA,Power Marketer,"1,247","9,838","1,237.90",12.58
Champion Energy Services,PA,Power Marketer,"3,254","30,598","2,886.00",9.43
"Choice Energy, LLC d/b/a 4 Choice Energy",PA,Power Marketer,"4,309","37,579","3,947.10",10.5
"CleanChoice Energy, Inc.",PA,Power Marketer,"16,394","118,844","13,111.20",11.03
Clearview Electric Inc.,PA,Power Marketer,"12,152","106,931","13,812.00",12.92
"Commerce Energy, Inc.",PA,Power Marketer,"13,968","131,481","11,715.70",8.91
Consolidated Edison Sol Inc,PA,Power Marketer,"16,025","299,571","18,814.10",6.28
Constellation Energy Power Choice Inc.,PA,Power Marketer,77,983,79.2,8.06
"Constellation Energy Services, Inc.",PA,Power Marketer,91,436,39.8,9.13
"Constellation NewEnergy, Inc",PA,Power Marketer,"58,108","597,456","46,212.00",7.73
Direct Energy Services,PA,Power Marketer,"66,185","666,804","64,338.50",9.65
"Discount Energy Group, LLC",PA,Power Marketer,"13,009","149,691","10,608.10",7.09
Discount Power Inc - (CT),PA,Power Marketer,"5,205","55,982","5,267.80",9.41
"ENGIE Retail, LLC",PA,Power Marketer,"35,172","350,329","27,017.00",7.71
"Eligo Energy, LLC",PA,Power Marketer,"13,481","123,266","9,351.30",7.59
"Energy Coop of New York, Inc",PA,Power Marketer,80,819,58.6,7.16
Energy Plus Holdings LLC,PA,Power Marketer,"51,313","496,710","52,981.80",10.67
"Energy Services Providers, Inc.",PA,Power Marketer,"37,694","349,463","32,652.80",9.34
Energy.Me Midwest LLC,PA,Power Marketer,91,"4,901",356,7.26
Entrust Energy,PA,Power Marketer,66,693,58.2,8.4
Everyday Energy LLC,PA,Power Marketer,"6,350","61,405","4,975.00",8.1
First Energy Solutions Corp.,PA,Power Marketer,"125,101","1,458,442","102,040.20",7
"First Point Power, LLC",PA,Power Marketer,480,"6,449",435.1,6.75
"Frontier Utilities, Inc.",PA,Power Marketer,"17,007","200,579","18,038.70",8.99
"Great American Power, LLC",PA,Power Marketer,"13,676","144,296","10,727.20",7.43
Green Mountain Energy Company,PA,Power Marketer,"74,785","697,870","64,427.80",9.23
Greenlight Energy Inc.,PA,Power Marketer,555,"2,968",269,9.06
"HIKO Energy, LLC",PA,Power Marketer,715,"5,814",571.8,9.83
Hudson Energy Services,PA,Power Marketer,1,50,3.2,6.4
"IDT Energy, Inc.",PA,Power Marketer,"28,574","249,672","25,550.20",10.23
"Inspire Energy Holdings, LLC",PA,Power Marketer,"21,360","167,927","18,940.90",11.28
"Interstate Gas Supply, Inc.",PA,Power Marketer,"75,090","728,449","55,006.00",7.55
Just Energy,PA,Power Marketer,"5,950","70,989","5,550.30",7.82
Liberty Power Corp.,PA,Power Marketer,"5,160","39,808","4,371.00",10.98
"LifeEnergy, LLC",PA,Power Marketer,"14,414","120,703","9,242.90",7.66
MPower Energy NJ LLC,PA,Power Marketer,593,"3,892",338.9,8.71
Marathon Power LLC,PA,Power Marketer,24,534,43.1,8.07
"MidAmerican Energy Services, LLC",PA,Power Marketer,223,"2,748",190.4,6.93
"NextEra Energy Services, LLC",PA,Power Marketer,"21,907","202,946","17,269.20",8.51
"Nittany Energy, LLC",PA,Power Marketer,337,"3,255",212.1,6.52
"Nordic Energy Services, LLC",PA,Power Marketer,383,"7,052",506.1,7.18
"North American Power and Gas, LLC",PA,Power Marketer,"50,493","560,883","50,503.50",9
"Oasis Power, LLC",PA,Power Marketer,"27,655","304,589","26,774.00",8.79
"Palmco Power PA, LLC",PA,Power Marketer,"5,991","40,714","4,515.40",11.09
Park Power LLC,PA,Power Marketer,"20,739","186,341","15,583.40",8.36
Planet Energy,PA,Power Marketer,"8,978","78,288","7,435.80",9.5
"Plymouth Rock Energy, LLC",PA,Power Marketer,"1,410","6,863",745.7,10.87
Public Power LLC (PA),PA,Power Marketer,"17,496","163,502","16,026.40",9.8
Reliant Energy Northeast LLC,PA,Power Marketer,"182,116","1,769,956","159,009.40",8.98
"ResCom Energy, LLC",PA,Power Marketer,26,85,5.9,6.94
"Residents Energy, LLC",PA,Power Marketer,"5,871","51,999","4,486.30",8.63
Respond Power LLC,PA,Power Marketer,"23,496","171,475","21,207.00",12.37
"Rushmore Energy, LLC",PA,Power Marketer,"2,290","18,780","1,687.70",8.99
SFE Energy Pennsylvania,PA,Power Marketer,"31,269","272,749","21,200.00",7.77
Santanna Energy Services,PA,Power Marketer,126,732,45.8,6.26
"Shipley Choice, LLC",PA,Power Marketer,"16,415","153,591","13,439.90",8.75
"SmartEnergy Holdings, LLC",PA,Power Marketer,"17,711","165,992","15,189.00",9.15
"Spark Energy, LP",PA,Power Marketer,"13,794","99,291","8,957.50",9.02
Sperian Energy Corp,PA,Power Marketer,"26,080","244,849","22,992.00",9.39
"Star Energy Partners, LLC",PA,Power Marketer,"15,873","113,623","11,165.60",9.83
"Starion Energy PA, Inc.",PA,Power Marketer,"24,307","181,391","16,183.40",8.92
"Stream Energy Pennsylvania, LLC",PA,Power Marketer,"77,403","826,672","70,532.30",8.53
"Sunwave Gas & Power Connecticut, Inc.",PA,Power Marketer,"5,575","77,471","5,149.00",6.65
"Talen Energy Marketing, LLC",PA,Power Marketer,"67,783","984,235","70,851.20",7.2
"Texpo Power, L.P.",PA,Power Marketer,"4,711","41,521","3,511.20",8.46
The Energy Coop,PA,Cooperative,"2,517","18,950","2,104.40",11.11
Titan Gas LLC,PA,Power Marketer,"22,411","206,261","15,612.00",7.57
"TriEagle Energy, L.P.",PA,Power Marketer,"34,413","448,312","33,313.90",7.43
"UGI Energy Services, Inc.",PA,Power Marketer,480,"5,824",418,7.18
Verde Energy USA,PA,Power Marketer,"24,846","213,877","22,940.00",10.73
Viridian Energy PA LLC,PA,Power Marketer,"9,094","79,336","7,352.80",9.27
"Vista Energy Marketing, L.P.",PA,Power Marketer,"6,614","39,862","3,006.00",7.54
"WGL Energy Services, Inc.",PA,Power Marketer,"9,542","80,418","5,735.00",7.13
"XOOM Energy Pennsylvania, LLC",PA,Power Marketer,"14,888","131,376","12,422.80",9.46
Agera Energy LLC,RI,Power Marketer,"1,026","7,911",724,9.15
"Ambit Energy Holdings, LLC",RI,Power Marketer,"3,646","27,997","2,621.10",9.36
Clearview Electric Inc.,RI,Power Marketer,"12,892","35,655","4,354.00",12.21
"Constellation Energy Services, Inc.",RI,Power Marketer,17,39,3,7.69
"Constellation NewEnergy, Inc",RI,Power Marketer,5,21,2,9.52
Direct Energy Services,RI,Power Marketer,"8,725","51,601","4,231.00",8.2
"ENGIE Retail, LLC",RI,Power Marketer,"2,295","13,237","1,071.60",8.1
"First Point Power, LLC",RI,Power Marketer,"1,714","14,328","1,376.90",9.61
Liberty Power Corp.,RI,Power Marketer,56,209,31,14.83
"North American Power and Gas, LLC",RI,Power Marketer,"10,714","87,096","10,725.40",12.31
Public Power LLC (CT),RI,Power Marketer,2,15,1.3,8.67
Town Square Energy,RI,Power Marketer,"6,586","36,267","3,522.40",9.71
Viridian Energy LLC,RI,Power Marketer,"1,659","13,442","1,305.60",9.71
"XOOM Energy Rhode Island, LLC",RI,Power Marketer,"1,487","11,177","1,089.50",9.75
Adjustment 2017,CA,Other,"-79,713","-446,516","-30,185.00",0
Adjustment 2017,CT,Other,"9,079","61,160","6,039.50",0
Adjustment 2017,DC,Other,"6,209","306,479","33,215.90",0
Adjustment 2017,DE,Other,235,"36,785","3,475.70",0
Adjustment 2017,IL,Other,"-144,270","-399,960","-17,547.90",0
Adjustment 2017,MA,Other,"109,538","962,896","109,886.00",0
Adjustment 2017,MD,Other,"6,983","264,518","25,922.70",0
Adjustment 2017,ME,Other,"-9,213","-20,487","-1,251.70",0
Adjustment 2017,MI,Other,37,373,31.7,0
Adjustment 2017,MT,Other,3,11,0.7,0
Adjustment 2017,NH,Other,"-4,628","51,046","5,154.80",0
Adjustment 2017,NJ,Other,"15,106","139,899","16,258.10",0
Adjustment 2017,NY,Other,"111,095","289,956","27,183.40",0
Adjustment 2017,OH,Other,"409,993","3,798,141","238,676.90",0
Adjustment 2017,PA,Other,"30,866","590,638","51,317.10",0
Adjustment 2017,RI,Other,"3,241","61,479","6,375.50",0
