"Dynegy Energy Services, LLC",IL,Power Marketer,"257,753","2,263,490","147,820.00",6.53
"ENGIE Retail, LLC",IL,Power Marketer,"9,510","48,481","3,741.90",7.72
"Eligo Energy, LLC",IL,Power Marketer,"30,421","244,797","18,105.30",7.4
Energy Plus Holdings LLC,IL,Power Marketer,"21,230","176,163","23,152.00",13.14
"Energy Services Providers, Inc.",IL,Power Marketer,"22,885","215,877","18,929.70",8.77
Energy.Me Midwest LLC,IL,Power Marketer,"3,024","33,976","2,413.00",7.1
Entrust Energy,IL,Power Marketer,"1,221","10,735",883.1,8.23
Everyday Energy LLC,IL,Power Marketer,"1,400","11,992","1,005.40",8.38
First Energy Solutions Corp.,IL,Power Marketer,"34,898","298,359","18,792.60",6.3
"Frontier Utilities, Inc.",IL,Power Marketer,"3,406","8,046",668.1,8.3
