Entity,State,Ownership,Customers (Count),Sales (Megawatthours),"Revenues (ThousandsDollars)","Average Price(cents/kWh)"
"SmartEnergy Holdings, LLC",NY,Retail Power Marketer,"4,475","25,282","1,722.9",6.81
South Bay Energy Corp.,NY,Retail Power Marketer,"1,764","7,003","1,757.0",25.09
"Stream Energy New York, LLC",NY,Retail Power Marketer,"4,272","34,160","2,993.0",8.76
"SunSea Energy, LLC",NY,Retail Power Marketer,"2,448","11,133","2,600.0",23.35
U.S. Energy Partners LLC,NY,Retail Power Marketer,660,"4,114",491.0,11.93
Verde Energy USA,NY,Retail Power Marketer,"7,001","54,039","5,831.0",10.79
Viridian Energy NY LLC,NY,Retail Power Marketer,"2,862","19,753","3,028.5",15.33
"XOOM Energy New York, LLC",NY,Retail Power Marketer,"14,722","89,621","14,669.0",16.37
AEP Energy,OH,Retail Power Marketer,"353,297","3,193,910","247,009.5",7.73
AP Holdings LLC,OH,Retail Power Marketer,"1,742","15,777","1,864.0",11.81
"All American Power and Gas, LLC",OH,Retail Power Marketer,25,188,51.0,27.13
"Alpha Gas and Electric, LLC",OH,Retail Power Marketer,517,"3,751",550.2,14.67
"Ambit Energy Holdings, LLC",OH,Retail Power Marketer,"1,963","20,031","2,152.8",10.75
American Power & Gas,OH,Retail Power Marketer,"4,938","52,227","8,926.6",17.09
"Archer Energy, LLC",OH,Retail Power Marketer,"17,014","192,220","16,271.3",8.46
Astral Energy LLC,OH,Retail Power Marketer,5,20,1.5,7.50
Atlantic Energy LLC,OH,Retail Power Marketer,662,"4,721",626.3,13.27
"Choice Energy, LLC",OH,Retail Power Marketer,466,"3,786",514.6,13.59
"CleanChoice Energy, Inc.",OH,Retail Power Marketer,"18,606","139,217","18,414.1",13.23
Clearview Electric Inc.,OH,Retail Power Marketer,"1,619","12,635","1,853.6",14.67
"Constellation NewEnergy, Inc",OH,Retail Power Marketer,"54,598","537,740","37,720.0",7.01
Current Power & Gas Inc.,OH,Retail Power Marketer,214,"2,334",159.3,6.83
Direct Energy Services,OH,Retail Power Marketer,"70,604","611,394","51,514.0",8.43
Discount Power Inc - (CT),OH,Retail Power Marketer,724,"5,427",745.1,13.73
"Dynegy Energy Services, LLC",OH,Retail Power Marketer,"291,705","3,013,165","183,907.5",6.10
ENGIE Power & Gas LLC,OH,Retail Power Marketer,173,"1,120",136.6,12.20
"EcoPlus Power, LLC",OH,Retail Power Marketer,632,"5,607",437.6,7.80
"Eligo Energy, LLC",OH,Retail Power Marketer,"5,343","46,735","6,002.0",12.84
Energy Harbor Corp.,OH,Retail Power Marketer,"756,855","7,570,889","429,354.1",5.67
Energy Plus Holdings LLC,OH,Retail Power Marketer,184,"1,690",196.6,11.63
"Energy Services Providers, Inc",OH,Retail Power Marketer,"7,878","59,457","6,486.5",10.91
Energywell LLC,OH,Retail Power Marketer,"1,060","8,653","1,044.6",12.07
Everyday Energy LLC,OH,Retail Power Marketer,151,"1,205",176.0,14.61
"Frontier Utilities, LLC",OH,Retail Power Marketer,751,"6,037",891.4,14.77
"Great American Power, LLC",OH,Retail Power Marketer,343,"3,762",311.0,8.27
Greenlight Energy Inc.,OH,Retail Power Marketer,237,"1,725",193.9,11.24
"IDT Energy, Inc.",OH,Retail Power Marketer,"3,721","26,907","3,728.7",13.86
"Inspire Energy Holdings, LLC",OH,Retail Power Marketer,"58,136","406,741","55,424.8",13.63
"Interstate Gas Supply, Inc.",OH,Retail Power Marketer,"187,296","1,543,888","152,525.0",9.88
Josco Energy USA LLC,OH,Retail Power Marketer,8,14,1.5,10.71
Just Energy Solutions Inc.,OH,Retail Power Marketer,"30,440","321,041","30,443.6",9.48
Kiwi Energy NY LLC,OH,Retail Power Marketer,"1,365","8,684",987.0,11.37
LE Energy,OH,Retail Power Marketer,"11,494","95,616","12,732.9",13.32
MPower Energy NJ LLC,OH,Retail Power Marketer,"2,412","15,789","2,823.6",17.88
Major Energy Electric Services,OH,Retail Power Marketer,"2,122","13,131","1,505.0",11.46
Median Energy Corp.,OH,Retail Power Marketer,788,"6,353",784.2,12.34
Mega Energy of Ohio,OH,Retail Power Marketer,166,126,21.2,16.83
"MidAmerican Energy Services, LLC",OH,Retail Power Marketer,406,"2,834",161.9,5.71
"NTHERM, LLC",OH,Retail Power Marketer,"3,155","26,413","3,773.3",14.29
"National Gas & Electric, LLC",OH,Retail Power Marketer,"1,456","12,717","2,033.0",15.99
New Wave Energy Corporation,OH,Retail Power Marketer,917,"10,311",781.0,7.57
"NextEra Energy Services, LLC",OH,Retail Power Marketer,"266,684","1,948,585","126,598.4",6.50
"Nordic Energy Services, LLC",OH,Retail Power Marketer,"9,678","58,667","6,457.6",11.01
"North American Power and Gas, LLC",OH,Retail Power Marketer,"2,295","22,897","3,026.0",13.22
Park Power LLC,OH,Retail Power Marketer,944,"7,047","1,412.5",20.04
Powervine Energy,OH,Retail Power Marketer,"1,674","21,537","1,683.0",7.81
"Provision Power & Gas, LLC",OH,Retail Power Marketer,"5,047","37,194","4,019.8",10.81
Public Power LLC (CT),OH,Retail Power Marketer,"9,259","108,263","7,999.3",7.39
"Pure Energy USA, LLC",OH,Retail Power Marketer,255,"2,029",564.0,27.80
"RPA Energy, Inc.",OH,Retail Power Marketer,919,"6,253","1,028.4",16.45
"Realgy, LLC",OH,Retail Power Marketer,"4,269","35,646","3,233.8",9.07
Reliant Energy Northeast LLC,OH,Retail Power Marketer,"93,413","935,160","96,979.0",10.37
"Renaissance Power & Gas, Inc.",OH,Retail Power Marketer,257,"1,435",208.5,14.53
"ResCom Energy, LLC",OH,Retail Power Marketer,12,30,2.1,7.00
"Residents Energy, LLC",OH,Retail Power Marketer,"5,918","51,367","4,916.9",9.57
"Rushmore Energy, LLC",OH,Retail Power Marketer,"4,823","40,035","3,735.3",9.33
"SFE Energy Ohio, Inc.",OH,Retail Power Marketer,"4,347","33,083","2,573.5",7.78
Santanna Energy Services,OH,Retail Power Marketer,"4,656","38,686","3,675.8",9.50
"Shipley Choice, LLC",OH,Retail Power Marketer,"5,793","54,753","3,776.0",6.90
"SmartEnergy Holdings, LLC",OH,Retail Power Marketer,"24,844","148,854","20,631.5",13.86
South Bay Energy Corp.,OH,Retail Power Marketer,140,"1,263",142.0,11.24
StateWise Energy Ohio LLC,OH,Retail Power Marketer,"4,165","36,058","2,889.6",8.01
"Stream Ohio Gas & Electric, LLC",OH,Retail Power Marketer,"1,191","12,459","1,409.0",11.31
"Summer Energy Midwest, LLC",OH,Retail Power Marketer,64,548,39.7,7.24
"SunSea Energy, LLC",OH,Retail Power Marketer,657,"5,700","1,026.0",18.00
Titan Gas LLC,OH,Retail Power Marketer,"7,055","65,070","9,670.0",14.86
Tomorrow Energy Corp.,OH,Retail Power Marketer,"3,347","23,365","4,451.1",19.05
"Town Square Energy East, LLC",OH,Retail Power Marketer,528,"4,106",473.8,11.54
Verde Energy USA,OH,Retail Power Marketer,"4,129","30,951","5,916.0",19.11
