"Nordic Energy Services, LLC",IL,Power Marketer,"17,134","196,691","13,372.00",6.8
"North American Power and Gas, LLC",IL,Power Marketer,"7,495","64,029","7,733.00",12.08
"Oasis Power, LLC",IL,Power Marketer,"2,168","15,380","1,269.40",8.25
"Palmco Power IL, LLC",IL,Power Marketer,"8,903","63,827","8,889.00",13.93
"Plymouth Rock Energy, LLC",IL,Power Marketer,"1,952","9,215",749.1,8.13
Public Power LLC (CT),IL,Power Marketer,"5,988","48,305","4,733.00",9.8
"Realgy, LLC",IL,Power Marketer,"18,607","183,418","10,882.00",5.93
Reliant Energy Northeast LLC,IL,Power Marketer,"45,351","331,518","29,192.40",8.81
"ResCom Energy, LLC",IL,Power Marketer,12,66,10.2,15.45
"Residents Energy, LLC",IL,Power Marketer,160,211,13.3,6.3
Santanna Energy Services,IL,Power Marketer,"20,178","164,226","11,396.00",6.94
"SmartEnergy Holdings, LLC",IL,Power Marketer,"5,917","28,112","2,321.00",8.26
Source Power & Gas LLC,IL,Power Marketer,33,318,21.6,6.79
"Spark Energy, LP",IL,Power Marketer,"37,405","261,635","28,175.00",10.77
Sperian Energy Corp,IL,Power Marketer,"14,002","122,256","10,543.20",8.62
"Star Energy Partners, LLC",IL,Power Marketer,"6,883","49,119","4,104.00",8.36
"Starion Energy PA, Inc.",IL,Power Marketer,"21,633","166,106","15,386.70",9.26
Verde Energy USA,IL,Power Marketer,"21,545","176,469","15,036.00",8.52
Viridian Energy PA LLC,IL,Power Marketer,"15,874","136,939","11,381.00",8.31
"XOOM Energy Illinois, LLC",IL,Power Marketer,"23,041","178,138","14,561.00",8.17
"Abest Power & Gas, LLC",MA,Power Marketer,832,"8,450",851,10.07
Agera Energy LLC,MA,Power Marketer,646,"9,594",783,8.16
