Major Energy Electric Services,CT,Power Marketer,"2,215","13,763","1,486.00",10.8
"Mega Energy of New England, LLC",CT,Power Marketer,"1,105","9,801",984,10.04
"North American Power and Gas, LLC",CT,Power Marketer,"35,609","368,076","39,118.80",10.63
"Perigee Energy, LLC",CT,Power Marketer,"4,144","42,364","3,284.00",7.75
Public Power LLC (CT),CT,Power Marketer,"34,482","346,520","35,295.90",10.19
Reliant Energy Northeast LLC,CT,Power Marketer,"5,287","46,915","5,966.30",12.72
"Spark Energy, LP",CT,Power Marketer,"12,486","117,694","12,958.20",11.01
"Starion Energy, Inc.",CT,Power Marketer,"14,282","95,522","10,334.30",10.82
"Sunwave Gas & Power Connecticut, Inc.",CT,Power Marketer,"11,677","128,451","11,269.80",8.77
Town Square Energy,CT,Power Marketer,"27,652","250,244","22,399.10",8.95
Verde Energy USA,CT,Power Marketer,"14,851","124,384","13,683.00",11
Viridian Energy LLC,CT,Power Marketer,"5,088","45,735","5,458.30",11.93
"XOOM Energy Connecticut, LLC",CT,Power Marketer,"5,381","43,074","4,239.70",9.84
Agera Energy LLC,DC,Power Marketer,52,309,27,8.74
"Ambit Energy Holdings, LLC",DC,Power Marketer,573,"5,677",623,10.97
"CleanChoice Energy, Inc.",DC,Power Marketer,"6,483","50,740","6,792.70",13.39
Clearview Electric Inc.,DC,Power Marketer,821,"5,469",673,12.31
"Constellation NewEnergy, Inc",DC,Power Marketer,"3,742","44,855","3,539.80",7.89
Direct Energy Services,DC,Power Marketer,692,"6,529",695.4,10.65
"ENGIE Retail, LLC",DC,Power Marketer,3,44,4.6,10.45
"Eligo Energy, LLC",DC,Power Marketer,185,"1,894",227,11.99
"Energy Services Providers, Inc",DC,Power Marketer,761,"6,820",841.9,12.34
Energy.Me Midwest LLC,DC,Power Marketer,3,16,1,6.25
"Horizon Power and Light, LLC",DC,Power Marketer,286,"3,486",483,13.86
"IDT Energy, Inc.",DC,Power Marketer,"3,400","29,064","4,053.90",13.95
Liberty Power Corp.,DC,Power Marketer,377,"2,127",250,11.75
"LifeEnergy, LLC",DC,Power Marketer,560,"2,865",241.1,8.42
Major Energy Electric Services,DC,Power Marketer,"2,571","19,562","2,271.00",11.61
"MidAmerican Energy Services, LLC",DC,Power Marketer,3,81,5.1,6.3
"NextEra Energy Services, LLC",DC,Power Marketer,133,"1,593",149.9,9.41
"Palmco Power DC, LLC",DC,Power Marketer,946,"4,581",422.8,9.23
Public Power LLC (CT),DC,Power Marketer,"1,274","11,955","1,555.20",13.01
Reliant Energy Northeast LLC,DC,Power Marketer,328,"2,957",358.8,12.13
"Renaissance Power & Gas, Inc.",DC,Power Marketer,692,"5,811",529.7,9.12
"Star Energy Partners, LLC",DC,Power Marketer,"5,048","42,565","4,311.80",10.13
"Starion Energy PA, Inc.",DC,Power Marketer,627,"4,480",756.6,16.89
"Stream Energy Columbia, LLC",DC,Power Marketer,734,"7,708",744.9,9.66
Titan Gas LLC,DC,Power Marketer,303,394,43.9,11.14
Viridian Energy PA LLC,DC,Power Marketer,232,"2,420",279.5,11.55
"WGL Energy Services, Inc.",DC,Power Marketer,"4,225","41,547","3,699.00",8.9
"XOOM Energy Washington DC, LLC",DC,Power Marketer,"1,177","11,017",956.7,8.68
Agera Energy LLC,DE,Power Marketer,39,655,49,7.48
"Ambit Energy Holdings, LLC",DE,Power Marketer,670,"7,755",794,10.24
"CleanChoice Energy, Inc.",DE,Power Marketer,391,"4,063",546.9,13.46
Clearview Electric Inc.,DE,Power Marketer,"2,368","18,818","1,699.00",9.03
"Commerce Energy, Inc.",DE,Power Marketer,"4,717","61,721","5,681.00",9.2
"Constellation NewEnergy, Inc",DE,Power Marketer,"1,096","33,763","2,262.40",6.7
Direct Energy Services,DE,Power Marketer,"5,326","62,602","5,415.90",8.65
"ENGIE Retail, LLC",DE,Power Marketer,208,"2,004",181.8,9.07
Energy.Me Midwest LLC,DE,Power Marketer,2,44,3,6.82
"First Point Power, LLC",DE,Power Marketer,56,766,97.4,12.72
"LifeEnergy, LLC",DE,Power Marketer,"4,514","43,220","3,914.10",9.06
"MidAmerican Energy Services, LLC",DE,Power Marketer,7,115,8.8,7.65
"NextEra Energy Services, LLC",DE,Power Marketer,464,"5,542",643.4,11.61
"Palmco Power DE, LLC",DE,Power Marketer,441,"2,650",236,8.91
"Perigee Energy, LLC",DE,Power Marketer,1,37,3,8.11
Reliant Energy Northeast LLC,DE,Power Marketer,431,"4,519",450.7,9.97
"ResCom Energy, LLC",DE,Power Marketer,106,768,122.2,15.91
"Residents Energy, LLC",DE,Power Marketer,304,"2,341",276.5,11.81
"SmartEnergy Holdings, LLC",DE,Power Marketer,"1,960","13,094","1,457.80",11.13
"Starion Energy PA, Inc.",DE,Power Marketer,139,"1,132",162.9,14.39
"Stream Energy Delaware, LLC",DE,Power Marketer,508,"3,674",291.2,7.93
Viridian Energy PA LLC,DE,Power Marketer,432,"5,262",610.4,11.6
"WGL Energy Services, Inc.",DE,Power Marketer,"3,333","35,905","3,133.00",8.73
"XOOM Energy Delaware, LLC",DE,Power Marketer,861,"9,847","1,046.40",10.63
AEP Energy,IL,Power Marketer,"5,172","60,387","4,046.00",6.7
Agera Energy LLC,IL,Power Marketer,792,"9,871",509,5.16
"Ambit Energy Holdings, LLC",IL,Power Marketer,"53,989","547,786","43,626.00",7.96
American Power & Gas,IL,Power Marketer,"2,507","21,381","2,688.70",12.58
Champion Energy Services,IL,Power Marketer,"1,971","21,023","1,682.00",8
"CleanChoice Energy, Inc.",IL,Power Marketer,"18,285","110,888","13,704.90",12.36
Clearview Electric Inc.,IL,Power Marketer,"28,300","182,795","16,132.00",8.83
"Commerce Energy, Inc.",IL,Power Marketer,"34,423","342,591","25,245.80",7.37
"Constellation NewEnergy, Inc",IL,Power Marketer,"146,559","1,463,396","101,417.70",6.93
Direct Energy Services,IL,Power Marketer,"83,438","672,149","69,112.70",10.28
"Dynegy Energy Services, LLC",IL,Power Marketer,"323,793","3,363,774","235,579.00",7
"ENGIE Retail, LLC",IL,Power Marketer,"10,700","63,841","5,590.80",8.76
"Eligo Energy, LLC",IL,Power Marketer,"31,404","255,823","19,685.60",7.7
Energy Plus Holdings LLC,IL,Power Marketer,"16,179","139,658","18,869.60",13.51
"Energy Services Providers, Inc",IL,Power Marketer,"30,044","286,791","25,156.40",8.77
Energy.Me Midwest LLC,IL,Power Marketer,"2,470","28,254","1,979.00",7
Entrust Energy,IL,Power Marketer,54,418,33.9,8.11
Everyday Energy LLC,IL,Power Marketer,698,"6,279",685.6,10.92
First Energy Solutions Corp.,IL,Power Marketer,"2,044","29,577","1,918.00",6.48
"Frontier Utilities, Inc.",IL,Power Marketer,"7,901","50,677","4,772.40",9.42
"Great American Power, LLC",IL,Power Marketer,"9,221","21,965","2,391.00",10.89
Green Mountain Energy Company,IL,Power Marketer,"21,632","159,612","20,415.60",12.79
"HIKO Energy, LLC",IL,Power Marketer,431,"2,928",376.4,12.86
Homefield Energy,IL,Power Marketer,"428,423","4,735,991","273,316.90",5.77
"IDT Energy, Inc.",IL,Power Marketer,"22,769","137,190","15,987.50",11.65
"Inspire Energy Holdings, LLC",IL,Power Marketer,"4,415","31,894","3,288.80",10.31
"Interstate Gas Supply, Inc.",IL,Power Marketer,"30,606","261,874","25,194.00",9.62
Liberty Power Corp.,IL,Power Marketer,"45,172","331,447","33,919.00",10.23
"LifeEnergy, LLC",IL,Power Marketer,"5,544","35,572","2,796.40",7.86
"MC Squared Energy Services, LLC",IL,Power Marketer,"54,810","602,946","40,910.00",6.79
Major Energy Electric Services,IL,Power Marketer,"2,024","14,144","1,779.00",12.58
"Mega Energy of Illinois, LLC",IL,Power Marketer,"6,202","52,102","5,970.60",11.46
"MidAmerican Energy Services, LLC",IL,Power Marketer,"27,060","270,537","13,728.90",5.07
