 Entity , State,Class of  Ownership,Number of Consumers,Sales (megawatthours),Revenue (thousand dollars),Average Retail Price (cents/kWh)
First Energy Solutions Corp.,IL,Power Marketer,988,"8,303",521,6.27
"Integrys Energy Services, Inc.",IL,Power Marketer,"13,725","114,690","6,961",6.07
Liberty Power Corp.,IL,Power Marketer,402,"1,790",119,6.65
"Spark Energy, LP",IL,Power Marketer,"40,591","261,666","17,977",6.87
Consolidated Edison Sol Inc,MA,Power Marketer,"162,357","1,325,564","101,889",7.69
Dominion Retail Inc,MA,Power Marketer,"112,331","977,662","89,830",9.19
"Integrys Energy Services, Inc.",MA,Power Marketer,10,135,11,7.93
Just Energy,MA,Power Marketer,"6,927","49,982","4,667",9.34
"MxEnergy Electric, Inc.",MA,Power Marketer,"7,410","67,271","6,184",9.19
"Public Power & Utility, Inc.",MA,Power Marketer,866,"4,033",444,11.01
"Spark Energy, LP",MA,Power Marketer,12,135,15,11.19
"Ambit Energy Holdings, LLC",MD,Power Marketer,"6,886","81,973","7,227",8.82
"Commerce Energy, Inc.",MD,Power Marketer,921,"7,837",825,10.53
Consolidated Edison Sol Inc,MD,Power Marketer,78,920,76,8.26
Direct Energy Services,MD,Power Marketer,"36,943","455,912","41,501",9.10
Dominion Retail Inc,MD,Power Marketer,"21,026","291,561","27,577",9.46
Energy Plus Holdings LLC,MD,Power Marketer,"5,425","61,487","6,681",10.87
"Energy Services Providers, Inc",MD,Power Marketer,46,6,  * ,8.33
GEXA Corp.,MD,Power Marketer,61,504,28,5.62
Gateway Energy Services Corp,MD,Power Marketer,834,"10,518",977,9.29
"Public Power & Utility, Inc.",MD,Power Marketer,"16,646","64,742","6,378",9.85
Reliant Energy Northeast LLC,MD,Power Marketer,15,41,4,8.78
"Spark Energy, LP",MD,Power Marketer,"7,474","82,161","8,586",10.45
"Stream Energy Maryland, LLC",MD,Power Marketer,"5,903","57,663","5,323",9.23
Washington Gas Energy Services,MD,Power Marketer,"108,860","1,429,403","135,530",9.48
"Competitive Energy Services, L",ME,Power Marketer,"1,006","5,388",692,12.85
"Integrys Energy Services, Inc.",ME,Power Marketer,18,47,3,7.02
NextEra Energy Power Marketing,ME,Power Marketer,"549,797","3,401,827","285,990",8.41
"Integrys Energy Services, Inc.",NH,Power Marketer,100,"1,094",79,7.23
"Ambit Energy Holdings, LLC",NJ,Power Marketer,"2,906",804,78,9.74
Champion Energy Services,NJ,Power Marketer,178,793,88,11.10
"Commerce Energy, Inc.",NJ,Power Marketer,41,360,41,11.39
"Constellation NewEnergy, Inc",NJ,Power Marketer,"20,276","190,112","21,134",11.12
Direct Energy Services,NJ,Power Marketer,"6,550","40,875","4,481",10.96
Dominion Retail Inc,NJ,Power Marketer,"17,650","212,040","21,801",10.28
Energy Plus Holdings LLC,NJ,Power Marketer,"16,614","154,551","18,339",11.87
"Energy Services Providers, Inc",NJ,Power Marketer,"8,131","19,248","2,017",10.48
GEXA Corp.,NJ,Power Marketer,207,705,40,5.66
Gateway Energy Services Corp,NJ,Power Marketer,"28,947","354,893","40,376",11.38
Hudson Energy Services,NJ,Power Marketer,42,"2,912",255,8.76
"Integrys Energy Services, Inc.",NJ,Power Marketer,2,13,1,9.23
"Palmco Power NJ, LLC",NJ,Power Marketer,"23,357","156,218","19,434",12.44
"Plymouth Rock Energy, LLC",NJ,Power Marketer,393,"2,855",302,10.59
"Public Power & Utility, Inc.",NJ,Power Marketer,"28,400","110,408","12,166",11.02
Reliant Energy Northeast LLC,NJ,Power Marketer,127,670,61,9.06
"Spark Energy, LP",NJ,Power Marketer,"3,385","15,525","1,542",9.93
AP Holdings LLC,NY,Power Marketer,"2,590","11,334","1,149",10.14
"Accent Energy Holdings, LLC",NY,Power Marketer,"32,149","149,007","18,901",12.68
"Advantage Energy, Inc",NY,Power Marketer,"1,764","44,840","2,457",5.48
"Agway Energy Services, LLC",NY,Power Marketer,"37,015","295,006","26,669",9.04
